siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
110044013,00040,11004401300040,O,2012-05-16,21,2023,,2025-02-07T02:12:51.589,true,A,O,,1984-07-19,7113,"MINISTERE DE L’ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L’ESPACE",,,,,,,,,,,84.11Z,NAFRev2,,N,,21,2023,00040,2025-10-16T17:07:15.143,PME,2023,HOTEL DE BONCOURT,21,,,RUE,DESCARTES,75005,PARIS,,75105,,,751052724_B,652241.8169190326,6860900.570274798,A,,,,,84.11Z,NAFRev2,O
110046018,00013,11004601800013,O,1983-03-01,22,2023,,2025-02-17T02:20:43.465,true,A,O,,1981-06-23,7113,MINISTERE DE LA CULTURE,,,,,,,,,,,84.11Z,NAFRev2,,N,,22,2023,00013,2025-10-16T10:24:42.628,PME,2023,,182,,,RUE,SAINT-HONORE,75001,PARIS,,75101,,,751018635_B,651498.8032063089,6862688.0333913285,A,,,,,84.11Z,NAFRev2,N
110068012,00050,11006801200050,O,2012-05-16,32,2023,,2024-03-30T10:38:59.451,true,A,O,,1981-06-23,7113,"MINISTERE DE LA TRANSITION ECOLOGIQUE, DE LA BIODIVERSITE ET DES NEGOCIATIONS INTERNATIONALES SUR LE CLIMAT ET LA NATURE",,,,,,,,,,,84.11Z,NAFRev2,,N,,32,2023,00050,2025-10-16T10:30:01.094,ETI,2023,HOTEL DE ROQUELAURE,246,,,BOULEVARD,SAINT-GERMAIN,75007,PARIS,,75107,,,751078619_B,650445.8192781415,6862121.599483583,A,,,,,84.11Z,NAFRev2,O
110070018,00012,11007001800012,O,1983-03-01,32,2023,,2025-02-15T02:06:59.959,true,A,O,,1981-06-23,7113,"MINISTERE DE L'AGRICULTURE, DE L'AGRO-ALIMENTAIRE ET DE LA SOUVERAINETE ALIMENTAIRE",,,,,,,,,,,84.11Z,NAFRev2,,N,,32,2023,00012,2025-10-16T10:36:49.246,ETI,2023,HOTEL DE VILLEROY,78,,,RUE,DE VARENNE,75007,PARIS,,75107,,,751079597_B,649979.2295241435,6861926.78516785,A,,,,,84.11Z,NAFRev2,O
120000047,00023,12000004700023,O,2008-12-01,22,2023,,2025-02-02T02:23:09.7,true,A,O,,1998-09-21,7120,DIRECTION GENERALE DE LA CREATION ARTISTIQUE,DGCA,,,,,,,,,,84.12Z,NAFRev2,,N,,22,2023,00023,2024-03-22T09:28:19,PME,2023,,62,,,RUE,BEAUBOURG,75003,PARIS,,75103,,,751030759_B,652663.1592174524,6862778.48127335,A,,,,,84.12Z,NAFRev2,O
120000054,00011,12000005400011,O,1998-11-02,21,2023,,2025-02-04T02:12:26.142,true,A,O,,1998-11-02,7120,SERVICE DE LA COMMUNICATION,SIRCOM,,,,,,,,,,84.11Z,NAFRev2,,,,21,2023,00011,2024-03-22T09:28:19,PME,2023,,139,,,RUE,DE BERCY,75012,PARIS,,75112,,,751120881_B,654343.5731811675,6860285.944629063,A,,,,,84.11Z,NAFRev2,N
120000088,00019,12000008800019,O,1997-12-15,32,2023,,2025-02-13T02:26:56.806,true,A,O,,1997-12-15,7120,DIRECTION GENERALE DE LA RECHERCHE ET DE L'INNOVATION,DGRI,,,,,,,,,,84.12Z,NAFRev2,,,,32,2023,00019,2024-03-22T09:28:19,ETI,2023,,1,,,RUE,DESCARTES,75005,PARIS,,75105,,,751052724_B,652201.4418287287,6861023.8879741365,A,,,,,84.12Z,NAFRev2,N
120000187,00027,12000018700027,O,2005-12-25,41,2023,,2024-03-30T03:55:13.433,true,A,O,,2002-12-25,7120,"DIRECTION GENERALE DES INFRASTRUCTURES, DES TRANSPORTS ET DES MOBILITES",DGITM,,,,,,,,,,84.13Z,NAFRev2,,N,,41,2023,00027,2024-03-22T09:28:19,ETI,2023,TOUR SEQUIOA,1,,,PLACE,CARPEAUX,92800,PUTEAUX,,92062,,,920621411_B,644252.0876092236,6866254.889738866,A,,,,,84.13Z,NAFRev2,N
120000328,00019,12000032800019,O,2004-11-16,41,2023,,2025-02-15T02:22:59.491,true,A,O,,2004-11-16,7120,DIRECTION GENERALE DU TRESOR,DGT,,,,,,,,,,84.11Z,NAFRev2,,N,,41,2023,00019,2024-03-22T09:28:19,ETI,2023,TELEDOC 681,139,,,RUE,DE BERCY,75012,PARIS,,75112,,,751120881_B,654343.5731811675,6860285.944629063,A,,,,,84.11Z,NAFRev2,N
120001011,00010,12000101100010,O,1983-03-01,32,2023,,2024-03-30T10:39:48.059,true,A,O,,1981-06-23,7120,SECRETARIAT GENERAL DU GOUVERNEMENT,SGG,,,,,,,,,,84.11Z,NAFRev2,,N,,41,2023,00010,2024-03-22T09:28:19,ETI,2023,,57,,,RUE,DE VARENNE,75007,PARIS,,75107,,,751079597_B,650169.4515844438,6861835.964402622,A,,,,,84.11Z,NAFRev2,N
